date,equity,cash,invested,open_positions,drawdown,strategy_id
2020-02-05,162693.43684181885,109038.96649644886,53654.470345369984,2,0.0021782416548387887,10
2020-02-06,162812.87121267023,81261.61625642372,81551.2549562465,3,0.001445733839876111,10
2020-02-07,161894.7801785475,81261.61625642372,80633.16392212376,3,0.007076515436062846,10
2020-02-10,163859.39215522457,81261.61625642372,82597.77589880084,3,0.0,10
2020-02-11,164436.26493538165,81261.61625642372,83174.64867895795,3,0.0,10
2020-02-12,165280.07129091138,108821.58307018958,56458.48822072181,2,0.0,10
2020-02-13,164949.59998525737,80389.36396186928,84560.23602338808,3,0.0019994625067189103,10
2020-02-14,164446.91713352015,108449.66951137016,55997.24762214999,2,0.005040862766357241,10
2020-02-18,163842.32084081843,82195.39259025775,81646.92825056068,3,0.008698873608073103,10
2020-02-19,164059.57271983736,82195.39259025775,81864.18012957962,3,0.007384426697915691,10
2020-02-20,164688.7446200101,82195.39259025775,82493.35202975236,3,0.0035777251684534117,10
2020-02-21,164977.12763294045,111326.8720045154,53650.255628425046,2,0.0018329109831863176,10
2020-02-24,165357.36385370046,114056.29071320347,51301.073140496985,2,0.0,10
2020-02-25,165722.337278809,114056.29071320347,51666.0465656055,2,0.0,10
2020-02-26,166562.2433795903,104597.5913629736,61964.6520166167,3,0.0,10
2020-02-27,164078.01576323147,133134.7532431266,30943.262520104872,2,0.01491471035664043,10
2020-02-28,163333.7821442978,133134.7532431266,30199.028901171194,2,0.019382911575794238,10
2020-03-02,164486.94177218562,133134.7532431266,31352.188529059044,2,0.012459616088834374,10
2020-03-03,164748.45743749203,133134.7532431266,31613.704194365433,2,0.010889538380944523,10
2020-03-04,166228.4197020995,133134.7532431266,33093.666458972904,2,0.0020041977744622505,10
2020-03-05,165350.1768600574,129140.67929280199,36209.4975672554,3,0.007276958420706683,10
2020-03-06,164243.64969069872,129140.67929280199,35102.97039789674,3,0.01392028374406308,10
2020-03-09,161086.83419057264,129140.67929280199,31946.15489777065,3,0.032873051406610634,10
2020-03-10,162381.14517549396,129140.67929280199,33240.465882691984,3,0.025102316823193516,10
2020-03-11,160318.80058931137,129140.67929280199,31178.121296509384,3,0.037484142045627444,10
2020-03-12,156498.5027763135,129140.67929280199,27357.8234835115,3,0.06042029933723851,10
2020-03-13,157069.16098746224,129140.67929280199,27928.48169466026,3,0.056994203485201754,10
2020-03-16,153070.72125113907,129140.67929280199,23930.041958337086,3,0.08099988241455458,10
2020-03-17,153288.32586544598,129140.67929280199,24147.64657264399,3,0.07969343618825708,10
2020-03-18,154160.07683963812,138920.54250764384,15239.534331994275,2,0.07445965116889082,10
2020-03-19,156805.80101098187,154735.2181894947,2070.5828214871594,1,0.0585753539976872,10
2020-03-20,156909.89754518255,154735.2181894947,2174.679355687847,1,0.05795038322346768,10
2020-03-23,156888.07910656664,154735.2181894947,2152.860917071924,1,0.05808137592729546,10
2020-03-24,157215.93242040777,154735.2181894947,2480.7142309130454,1,0.056113022792822105,10
2020-03-25,157209.07658936092,154735.2181894947,2473.858399866195,1,0.056154183567963846,10
2020-03-26,157199.1015176482,154735.2181894947,2463.8833281534808,1,0.05621407152042126,10
2020-03-27,156979.08132838874,154735.2181894947,2243.863138894032,1,0.057535020282849035,10
2020-03-30,156915.50243075404,154735.2181894947,2180.284241259324,1,0.05791673282672851,10
2020-03-31,156974.0937925324,154735.2181894947,2238.8756030376744,1,0.05756496425907765,10
2020-04-01,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-02,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-03,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-06,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-07,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-08,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-09,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-13,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-14,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-15,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-16,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-17,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-20,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-21,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-22,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-23,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-24,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-27,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-28,156883.82754904698,156883.82754904698,0.0,0,0.05810690126505145,10
2020-04-29,157499.93689786067,148787.4696676869,8712.467230173766,3,0.0544079276182473,10
2020-04-30,157549.74658087504,151666.25366304835,5883.492917826703,2,0.05410888215630031,10
2020-05-01,157369.31763337285,151804.48564571398,5564.831987658859,2,0.05519213454196254,10
2020-05-04,157552.07582627295,151804.48564571398,5747.5901805589665,2,0.05409489792223473,10
2020-05-05,157559.64091724745,151804.48564571398,5755.155271533471,2,0.0540494789195784,10
2020-05-06,157539.6410648182,149094.07404061337,8445.567024204807,3,0.05416955326550133,10
2020-05-07,157632.06306701415,149094.07404061337,8537.989026400777,3,0.05361467359817279,10
2020-05-08,157843.43188350936,149094.07404061337,8749.357842896,3,0.05234566561529218,10
2020-05-11,157890.95195038515,149094.07404061337,8796.877909771782,3,0.052060366462785605,10
2020-05-12,157749.2772232935,151936.60777984202,5812.669443451487,2,0.052910947748298076,10
2020-05-13,157390.78681236974,149222.93396595705,8167.852846412696,3,0.05506323870962216,10
2020-05-14,157338.20759023225,149222.93396595705,8115.273624275194,3,0.055378911824192675,10
2020-05-15,157456.96901339787,151658.72160601802,5798.24740737986,2,0.05466589655280872,10
2020-05-18,157439.0627372593,147446.77801373822,9992.284723521056,3,0.05477340156580124,10
2020-05-19,157407.19420999908,147446.77801373822,9960.41619626086,3,0.054964732605859185,10
2020-05-20,157637.85459629315,147446.77801373822,10191.076582554944,3,0.0535799026371105,10
2020-05-21,157718.477761516,147446.77801373822,10271.69974777777,3,0.053095860374068285,10
2020-05-22,157810.2560813129,150907.4117267434,6902.844354569509,2,0.05254484522240672,10
2020-05-26,157642.70372784973,141623.05975228827,16019.643975561446,3,0.053550789607301426,10
2020-05-27,157634.56615687092,141623.05975228827,16011.506404582648,3,0.05359964564342161,10
2020-05-28,157517.8477618691,141623.05975228827,15894.788009580832,3,0.05430039506077792,10
2020-05-29,158093.52189281926,141623.05975228827,16470.462140531,3,0.05084418482207329,10
2020-06-01,158745.26896064368,141623.05975228827,17122.209208355416,3,0.046931250806534715,10
2020-06-02,158680.8715096585,141623.05975228827,17057.81175737021,3,0.04731787774958341,10
2020-06-03,159210.09595817584,141623.05975228827,17587.036205887573,3,0.04414054033037456,10
2020-06-04,158853.3203514042,151575.7631322543,7277.5572191498995,2,0.04628253601638702,10
2020-06-05,162117.95185142112,139019.16259154523,23098.789259875884,3,0.026682466794354927,10
2020-06-08,163722.97696809107,144041.17605161504,19681.80091647603,2,0.017046278639683273,10
