strategy_id,symbol,sector,entry_date,exit_date,days_held,ml_score,predicted_return,predicted_mfe,win_probability,allocation,pnl_pct,pnl_dollars,exit_reason,hwm
1,TSLA,Consumer Discretionary,2018-06-05,2018-06-19,10,95.1,0.04424744305313591,0.08510473807575648,0.8374,22061.192444559547,0.2417586752332719,5333.4846594629835,pct_trail,0.2737586752332719
1,SBAC,Real Estate,2018-06-08,2018-06-29,15,94.5,0.03671523244786852,0.06770279671643398,0.8116,21050.531288351067,0.047580953331171516,1001.6043468273979,hold_expiry,0.04958095333117152
1,AAPL,Information Technology,2018-06-21,2018-07-13,15,90.3,0.031098378872208628,0.053375696998777464,0.8116,21893.819223729384,0.029652472134895635,649.2058644580779,hold_expiry,0.03165247213489564
1,DOC,Unknown,2018-06-19,2018-07-17,19,90.4,0.03118828358816932,0.06317911014500183,0.8116,21749.832536074802,0.07299353110397444,1587.5970777282114,hold_expiry,0.10315986544696298
1,AMZN,Consumer Discretionary,2018-06-29,2018-07-24,16,95.0,0.0391769468663942,0.07082661741528785,0.8374,23589.140722700202,0.07415013531003667,1749.1379764357162,hold_expiry,0.08479232850923646
1,NFLX,Communication Services,2018-08-02,2018-08-13,7,90.1,0.030795610422455568,0.10246309700338765,0.8116,22669.66291913661,-0.010722786647314934,-243.08195884844852,pct_trail,0.021277213352685065
1,NVDA,Information Technology,2018-07-31,2018-08-17,13,95.0,0.039297959997165156,0.07694516347249483,0.8374,24020.06612793809,0.03566321833391076,856.6328627156305,pct_trail,0.06766321833391076
1,INCY,Health Care,2018-08-03,2018-08-24,15,91.0,0.032032748709551535,0.10981751794150876,0.8116,22678.63151842655,0.10967512690355319,2487.2817897823534,hold_expiry,0.11167512690355319
1,NTAP,Information Technology,2018-08-20,2018-09-05,11,90.6,0.0314490347323585,0.05772063256800886,0.8116,23003.66176298896,0.035379543470312164,813.8590513200256,pct_trail,0.06737954347031216
1,AMZN,Consumer Discretionary,2018-08-13,2018-09-06,17,95.1,0.0405195774294456,0.07263631566176566,0.8374,24295.478552742792,0.04357747073093557,1058.735505526222,pct_trail,0.07557747073093557
1,AXON,Industrials,2018-08-24,2018-09-12,12,95.0,0.0401841076772719,0.09508826245020745,0.8374,24697.972560692146,0.08073836765827605,1994.073989019176,pct_trail,0.11273836765827605
1,WYNN,Consumer Discretionary,2018-09-06,2018-09-18,8,91.9,0.033196077834515,0.06603804297938332,0.8116,23724.63672199832,0.038047202930303836,902.6560678096084,hold_expiry,0.05811458976593098
1,STT,Financials,2018-09-24,2018-09-28,4,91.2,0.0322691968090951,0.06713612776649894,0.8116,23913.809494278772,-0.032,-765.2419038169207,pct_trail,0.0
1,FDX,Industrials,2018-09-24,2018-10-05,9,92.1,0.03353237187286184,0.050362587314045054,0.8116,23913.809494278772,-0.032,-765.2419038169207,pct_trail,0.0
1,CF,Materials,2018-09-24,2018-10-10,12,90.7,0.031585197899443695,0.04714336613266023,0.8116,23913.809494278772,0.02954193326327939,706.4601641507605,pct_trail,0.06154193326327939
1,GS,Financials,2018-09-28,2018-10-10,8,91.4,0.03251105099596126,0.05548711568189643,0.8116,23858.24717085757,-0.016213225562738492,-386.81914291268123,pct_trail,0.015786774437261508
1,STLD,Unknown,2018-10-05,2018-10-10,3,95.2,0.0466592290361007,0.07484790193105954,0.8374,25378.626798596753,-0.032,-812.1160575550962,pct_trail,0.0
1,ADBE,Information Technology,2018-10-10,2018-10-15,3,95.0,0.040326143124897414,0.0794794939217816,0.8374,25079.68629828534,0.014067840780126935,352.8170336598093,pct_trail,0.046067840780126934
1,AES,Utilities,2018-10-10,2018-10-18,6,95.1,0.042799026152473135,0.08257415856960675,0.8374,25079.68629828534,0.007248737989832972,181.79607484347443,pct_trail,0.03924873798983297
1,A,Unknown,2018-10-10,2018-10-19,7,95.0,0.0401720008389962,0.07313652049516399,0.8374,25079.68629828534,-0.02015080220686169,-505.3757980068871,pct_trail,0.01184919779313831
1,ACN,Information Technology,2018-10-15,2018-10-24,7,95.0,0.03961703134679788,0.05955287483209898,0.8374,25091.18892600055,-0.011229863801682309,-281.77063426126557,pct_trail,0.02077013619831769
1,ALB,Materials,2018-10-18,2018-10-24,4,95.0,0.03776561264945113,0.09215525055550022,0.8374,25105.433639951116,-0.015379331351345919,-386.10478266803466,pct_trail,0.01662066864865408
1,A,Unknown,2018-10-19,2018-10-24,3,95.1,0.04185594305467392,0.07552012084002221,0.8374,25135.100927503627,-0.032,-804.3232296801161,pct_trail,0.0
1,ADBE,Information Technology,2018-10-24,2018-10-29,3,95.1,0.04230941094595511,0.09545986673506816,0.8374,24818.19509931988,0.02872806576077827,712.9787408770866,pct_trail,0.06072806576077827
1,AES,Utilities,2018-10-24,2018-11-05,8,95.0,0.03772352148428015,0.0741268414568053,0.8374,24818.19509931988,0.03435177289750535,852.5490017778168,hold_expiry,0.03635177289750535
1,ADBE,Information Technology,2018-11-05,2018-11-09,4,95.0,0.039000426431052955,0.07993332968497344,0.8374,25520.914337214053,0.024442536162407907,623.7958715850689,pct_trail,0.05644253616240791
1,MMM,Industrials,2018-10-24,2018-11-12,13,95.2,0.05257573541252644,0.08886765053808425,0.8374,24818.19509931988,0.07383047318729255,1832.3390878373318,pct_trail,0.10583047318729255
1,ABT,Health Care,2018-10-29,2018-11-12,10,95.0,0.037584362149758334,0.06680358462254449,0.8374,24931.87350889908,0.05193978262337143,1294.956090445611,pct_trail,0.08393978262337143
1,DECK,Consumer Discretionary,2018-11-09,2018-11-14,3,95.0,0.0399771103432501,0.07695886869339262,0.8374,25986.37173615616,-0.032,-831.5638955569972,pct_trail,0.0
1,AMD,Information Technology,2018-11-12,2018-11-16,4,95.0,0.04000400315160376,0.11046116773029915,0.8374,25731.0996021198,0.0972695743562795,2502.853106017226,pct_trail,0.1292695743562795
1,AES,Utilities,2018-11-14,2018-11-20,4,95.1,0.04598396421427986,0.08884266666951342,0.8374,26055.811518585382,-0.014286318590410711,-372.2416244862039,pct_trail,0.017713681409589288
1,ALGN,Health Care,2018-11-16,2018-11-20,2,95.0,0.037702526563105965,0.07124465143359754,0.8374,26237.086594090546,-0.032,-839.5867710108975,pct_trail,0.0
1,AMD,Information Technology,2018-11-20,2018-12-03,8,95.1,0.042552785149318054,0.10896267838876211,0.8374,25874.186534312557,0.23225299323269133,6009.357270055088,hold_expiry,0.23425299323269133
1,AOS,Industrials,2018-11-12,2018-12-04,15,95.2,0.04787019049439855,0.10120330496018283,0.8374,25731.0996021198,0.027551338714702195,708.9262406397415,pct_trail,0.059551338714702196
1,AES,Utilities,2018-11-20,2018-12-06,10,95.0,0.039866919105688875,0.08338851453979074,0.8374,25874.186534312557,0.034916205795634925,903.4284218267032,hold_expiry,0.04698267590153349
1,ALGN,Health Care,2018-12-03,2018-12-06,2,91.1,0.0322169520092594,0.08606088872363195,0.8116,25798.65342664206,-0.032,-825.556909652546,pct_trail,0.0
1,AIG,Financials,2018-12-06,2018-12-10,2,95.1,0.04221056659498404,0.10356652133851192,0.8374,27096.51581720021,-0.032,-867.0885061504067,pct_trail,0.0
1,BLDR,Consumer Discretionary,2018-12-06,2018-12-10,2,95.1,0.0414468119987544,0.1106064133987982,0.8374,27096.51581720021,-0.032,-867.0885061504067,pct_trail,0.0
1,MO,Consumer Staples,2018-12-04,2018-12-14,7,95.0,0.040273103671122426,0.06441130583167964,0.8374,26966.07774242133,-0.032,-862.9144877574826,pct_trail,0.0
1,AOS,Industrials,2018-12-10,2018-12-14,4,95.0,0.03957767603780383,0.09237483705029119,0.8374,26688.833230516582,-0.032,-854.0426633765306,pct_trail,0.0
1,CIEN,Unknown,2018-12-14,2018-12-18,2,95.1,0.04211426526465607,0.07928686830183378,0.8374,26510.120515255443,-0.032,-848.3238564881742,pct_trail,0.0
1,AIG,Financials,2018-12-10,2018-12-20,8,95.2,0.05221401570067426,0.1086592432740793,0.8374,26688.833230516582,0.025811208196216545,688.8710310269661,pct_trail,0.057811208196216546
1,BLDR,Consumer Discretionary,2018-12-14,2018-12-20,4,95.1,0.04148390571199264,0.1396891618489305,0.8374,26510.120515255443,0.006251366120218623,165.72446923198055,pct_trail,0.03825136612021862
1,AMD,Information Technology,2018-12-18,2018-12-20,2,95.0,0.0381134048272359,0.12079544901728434,0.8374,26549.247710749325,-0.032,-849.5759267439785,pct_trail,0.0
1,ARE,Real Estate,2018-12-20,2018-12-24,2,95.0,0.03753919166422829,0.044842823462611967,0.8374,26318.28439122204,-0.032,-842.1851005191054,pct_trail,0.0
1,AMAT,Information Technology,2018-12-20,2018-12-24,2,95.1,0.0409179965005615,0.1324226342004964,0.8374,26318.28439122204,-0.032,-842.1851005191054,pct_trail,0.0
1,ALGN,Health Care,2018-12-20,2019-01-02,7,95.0,0.038074331867912224,0.13927948123064438,0.8374,26318.28439122204,0.03651046617453749,960.8928320375703,pct_trail,0.06851046617453749
1,WDC,Information Technology,2018-12-26,2019-01-03,5,95.4,0.05937928324940263,0.19643483074785006,0.8374,26331.597503641606,0.018234610078434105,480.14641322117353,pct_trail,0.050234610078434105
