date,equity,drawdown,strategy_id
2019-09-11,298552.65407955565,0.0,L1P5_skip_L
2019-09-12,295895.2340414894,0.008901009593296386,L1P5_skip_L
2019-09-13,296216.33232889726,0.007825493154168469,L1P5_skip_L
2019-09-16,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-17,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-18,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-19,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-20,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-23,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-24,294928.4080971464,0.012139386245226496,L1P5_skip_L
2019-09-25,297081.35027275264,0.004928121678700451,L1P5_skip_L
2019-09-26,296013.39162056864,0.0085052416191563,L1P5_skip_L
2019-09-27,295899.78580685495,0.008885763487447624,L1P5_skip_L
2019-09-30,296246.29953950056,0.007725118194529656,L1P5_skip_L
2019-10-01,294477.3365658143,0.013650247144195288,L1P5_skip_L
2019-10-02,285905.0265553115,0.04236313880121764,L1P5_skip_L
2019-10-03,291588.0841194033,0.02332777774702504,L1P5_skip_L
2019-10-04,291588.0841194033,0.02332777774702504,L1P5_skip_L
2019-10-07,291588.0841194033,0.02332777774702504,L1P5_skip_L
2019-10-08,291588.0841194033,0.02332777774702504,L1P5_skip_L
2019-10-09,292213.62479690614,0.021232533678834237,L1P5_skip_L
2019-10-10,289487.77064340527,0.03036276285701635,L1P5_skip_L
2019-10-11,290171.48977682396,0.028072650462850523,L1P5_skip_L
2019-10-14,288920.34843198076,0.032263339534768155,L1P5_skip_L
2019-10-15,295075.3036632229,0.011647360587208716,L1P5_skip_L
2019-10-16,292256.93174802075,0.021087477352846672,L1P5_skip_L
2019-10-17,293239.5717120527,0.017796131753989315,L1P5_skip_L
2019-10-18,294292.87546615873,0.014268098290835534,L1P5_skip_L
2019-10-21,297947.4427450588,0.0020271510777980944,L1P5_skip_L
2019-10-22,298042.2850712726,0.001709477377973917,L1P5_skip_L
2019-10-23,298611.35541753337,0.0,L1P5_skip_L
2019-10-24,297602.4946351382,0.0033785077629902437,L1P5_skip_L
2019-10-25,299644.5649937844,0.0,L1P5_skip_L
2019-10-28,301893.8407488008,0.0,L1P5_skip_L
2019-10-29,301242.72848644573,0.002156759014162278,L1P5_skip_L
2019-10-30,302194.5863759785,0.0,L1P5_skip_L
2019-10-31,300268.36433270806,0.006374111682046782,L1P5_skip_L
2019-11-01,304775.6558268682,0.0,L1P5_skip_L
2019-11-04,309985.48101081856,0.0,L1P5_skip_L
2019-11-05,310795.8300087094,0.0,L1P5_skip_L
2019-11-06,310158.975740258,0.002049108150625925,L1P5_skip_L
2019-11-07,311513.0739878142,0.0,L1P5_skip_L
2019-11-08,310813.8671080153,0.002244550672779328,L1P5_skip_L
2019-11-11,310176.56899112265,0.00429036566453651,L1P5_skip_L
2019-11-12,309585.6240185868,0.0061873806596726205,L1P5_skip_L
2019-11-13,305873.7507307582,0.018103006672768433,L1P5_skip_L
2019-11-14,306293.3560055342,0.016756015776352922,L1P5_skip_L
2019-11-15,308138.91423271893,0.010831518921184183,L1P5_skip_L
2019-11-18,308095.0347235402,0.01097237820717506,L1P5_skip_L
2019-11-19,307230.1870815264,0.013748658608323278,L1P5_skip_L
2019-11-20,304349.0972981845,0.02299735480736165,L1P5_skip_L
2019-11-21,301422.7948908863,0.03239118977498394,L1P5_skip_L
2019-11-22,303014.2376840956,0.02728243856645009,L1P5_skip_L
2019-11-25,308599.48887092946,0.009353010708625036,L1P5_skip_L
2019-11-26,311131.16583279497,0.001225977934506081,L1P5_skip_L
2019-11-27,312578.80852207146,0.0,L1P5_skip_L
2019-11-29,310724.0221777321,0.0059338198680490666,L1P5_skip_L
2019-12-02,307977.8240911646,0.014719438123976178,L1P5_skip_L
2019-12-03,307130.3120833606,0.017430792779818634,L1P5_skip_L
2019-12-04,309075.78488667187,0.011206849408513997,L1P5_skip_L
2019-12-05,308319.73476920195,0.013625599806356565,L1P5_skip_L
2019-12-06,309099.8262978454,0.011129936289268318,L1P5_skip_L
2019-12-09,309475.44721546303,0.009928252402271508,L1P5_skip_L
2019-12-10,309099.8262978454,0.011129936289268318,L1P5_skip_L
2019-12-11,311328.6276639476,0.003999570105327843,L1P5_skip_L
2019-12-12,331553.2814838769,0.0,L1P5_skip_L
2019-12-13,329061.5027304747,0.007515470039235332,L1P5_skip_L
2019-12-16,331487.7560863644,0.0001976315758941578,L1P5_skip_L
2019-12-17,330693.9698540183,0.002591775373215276,L1P5_skip_L
2019-12-18,330390.205829269,0.00350796001596644,L1P5_skip_L
2019-12-19,331530.97599999345,6.727571443012336e-05,L1P5_skip_L
2019-12-20,337900.69245462696,0.0,L1P5_skip_L
2019-12-23,337607.2334127145,0.0008684771841710959,L1P5_skip_L
2019-12-24,338488.4522439335,0.0,L1P5_skip_L
2019-12-26,340487.4270612365,0.0,L1P5_skip_L
2019-12-27,338478.18176759034,0.005901085132535058,L1P5_skip_L
2019-12-30,338694.36660956644,0.005266157599844657,L1P5_skip_L
2019-12-31,340252.09673908487,0.0006911571572048983,L1P5_skip_L
2020-01-02,340805.5719773555,0.0,L1P5_skip_L
2020-01-03,339234.92182437633,0.004608639887740879,L1P5_skip_L
2020-01-06,343999.1478377767,0.0,L1P5_skip_L
2020-01-07,343306.98503399815,0.002012106158195926,L1P5_skip_L
2020-01-08,345341.488929231,0.0,L1P5_skip_L
2020-01-09,347876.7017341774,0.0,L1P5_skip_L
2020-01-10,348114.1498038891,0.0,L1P5_skip_L
2020-01-13,351135.4887794925,0.0,L1P5_skip_L
2020-01-14,349547.05600386625,0.004523703317905758,L1P5_skip_L
2020-01-15,349383.73455952917,0.0049888270366867,L1P5_skip_L
2020-01-16,352797.1461525132,0.0,L1P5_skip_L
2020-01-17,357412.1843155931,0.0,L1P5_skip_L
2020-01-21,357208.4581098722,0.0005700035271909653,L1P5_skip_L
2020-01-22,358393.27522581007,0.0,L1P5_skip_L
2020-01-23,359563.33879096055,0.0,L1P5_skip_L
2020-01-24,356564.27034715377,0.008340862708337329,L1P5_skip_L
2020-01-27,352417.28858617577,0.01987424588061044,L1P5_skip_L
2020-01-28,355065.8786053073,0.01250811665276011,L1P5_skip_L
2020-01-29,353303.42939242866,0.017409754341421377,L1P5_skip_L
2020-01-30,352522.70033579826,0.01958107986992386,L1P5_skip_L
2020-01-31,348902.2818734976,0.029650010908539776,L1P5_skip_L
2020-02-03,354484.7742624271,0.01412425567525937,L1P5_skip_L
2020-02-04,366157.8784643898,0.0,L1P5_skip_L
2020-02-05,365664.7486539912,0.0013467682641890165,L1P5_skip_L
