direction,q,year,n,fwd_wr,fwd_avg_ret_pct
s,1,2014,30684,0.49129839655846697,0.08716830424980383
s,1,2015,32654,0.5434862497703191,0.590526187023874
s,1,2016,39872,0.4275180577849117,-3.081014367641239
s,1,2017,39087,0.4728426331005193,-2.143664035718965
s,1,2018,37412,0.495375815246445,0.17717967332944273
s,1,2019,33938,0.5220696564323177,-21.83419207304366
s,1,2020,41879,0.39991403806203585,-79.26137769818928
s,1,2021,37549,0.5397214306639324,-0.21452413514325672
s,1,2022,36003,0.6092270088603727,3.349866607366587
s,1,2023,42138,0.5775784327685225,2.0679410216046903
s,1,2024,50623,0.4967702427750232,-4.119440470971667
s,1,2025,44164,0.4795308395978625,-205.0889794067263
