strategy_id,category,ranking,threshold,exit,sizing,max_positions,concentration,total_return,annualized_return,max_drawdown,sharpe_ratio,win_rate,avg_win,avg_loss,profit_factor,total_trades,trades_per_year,worst_single_trade,longest_losing_streak,years_profitable,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,consistency_score,sharpe_norm,dd_norm,return_norm,weighted_score
48,Growth,MG,80,EM,SH,5,C2,2376.3031178968336,1.6424730698693844,0.27841719680196303,2.9376245860521455,0.8402948402948403,0.08341364795023397,-0.09603888527065625,7.204595183747183,814,101.75,-0.5385838570792301,10,8,1.1256280596823873,0.9923840435426166,1.617248436108806,1.360388036526842,1.8951599363384184,1.736029163756565,2.2115283515111206,2.3372318269585515,1.0,0.6461924485980035,0.5470563698308153,0.007155475339874635,0.6720327074166451
139,ATR Stop,CW,85,EA25,SK,3,C2,117.21145732399637,0.8158603528168791,0.17919189700391674,2.5704161195559445,0.7129411764705882,0.12313634193530056,-0.06687953866804369,3.715480069291987,425,53.125,-0.2060440568278819,7,8,0.3967691995007965,0.3556232233906045,1.331529808495738,0.8432094882462648,0.37306689734000575,1.7715091780755379,1.5208172367659687,0.4424843429769112,1.0,0.4768553042578177,0.7594713325463451,0.00033150579909700754,0.671157818443588
39,Growth,MS,80,EM,SH,5,C2,1592.7719315949164,1.5136411170695565,0.2505345459304715,2.8246916416333043,0.8134517766497462,0.08831869218010162,-0.07989418065161207,9.228391355313091,788,98.5,-0.35258569818164,7,8,0.7137045038145076,0.9424857278478755,1.4697255266797131,1.2778810455278502,0.48996736170139843,2.188570627192025,3.345087596565585,2.85023191073194,1.0,0.59411374112078,0.606745705689034,0.0047886864915559005,0.6705958793917353
44,Growth,CR,90,ET,SH,3,C1,1114.8373288556763,1.4040866165562065,0.25582863719503557,2.778892031036638,0.7242582897033158,0.0824443739399794,-0.06012440306304891,4.675675114454581,573,71.625,-0.4000074014654631,5,8,0.9047934558806416,0.2981441212654521,1.4924129880551136,1.8112796149751498,0.49702072980852585,2.1725559418375124,2.6583431277636986,2.537608379511822,1.0,0.5729933804048807,0.5954124650652839,0.0033450039582189244,0.6628325887080098
25,Cash Machine,WP,85,EM,SA,3,C1,219.10760391180835,0.9625890921805769,0.17567231691260934,2.4846237807688945,0.8195020746887967,0.06935865832679743,-0.0844753338364943,3.9564456989495036,482,60.25,-0.543278084920236,5,8,0.725216909624463,0.750078608632454,1.132539128795099,1.0526663200755197,0.5002572525191502,1.6931878950775632,0.7823910496818096,1.1476498009711125,1.0,0.43729241020179216,0.7670058169509375,0.0006393003931691776,0.6628201609996109
67,Position Count,WP,85,EM,SH,2,C1,63.626389108660646,0.6838416063991268,0.14920839771524813,2.384090455797294,0.8254437869822485,0.06345918989532966,-0.0868920647274034,3.424126136719456,338,42.25,-0.34144826045680454,3,8,0.5362518252642157,0.40477186108304397,0.6410459477217583,1.263074005221978,0.6974613580505864,0.8511660689494236,0.36119157045555905,0.8095223805474321,1.0,0.3909317521152477,0.8236580258236282,0.00016964301162196484,0.6624899896452809
77,Position Count,CW,85,EM,SH,2,C1,827.4278752780968,1.316230830086373,0.17785565588904825,2.4814454333957663,0.8153846153846154,0.10413911792109436,-0.109910830301699,4.963529841969669,325,40.625,-0.34144826045680454,3,8,0.7028635936420049,0.35250573783811223,1.4051050364532047,1.368370171064623,0.8916323549720204,1.5815103508405652,3.8789204098333547,1.4383609779436304,1.0,0.435826724312188,0.7623318691954805,0.0024768349542009004,0.6617945801602733
70,Position Count,WP,85,EM,SK,5,C2,147.22604037205343,0.8679513602449729,0.18541190120212175,2.5110799414308405,0.8141592920353983,0.0674294788735206,-0.08835953644973955,3.794541246906279,791,98.875,-0.6533746951843786,8,8,0.7073585379733849,0.4408875697771977,0.900342615788666,1.3375550647936345,0.6451020766471747,1.4010798416490315,0.5271041961991674,1.1922829482854116,1.0,0.4494925937635877,0.7461559587198991,0.0004221699381727749,0.6616676656756028
140,ATR Stop,CW,85,EA30,SK,3,C2,129.12269096462543,0.8377825752925383,0.18221823197125753,2.478323835219117,0.715,0.1296576027669067,-0.06670765667261046,5.504615805122197,400,50.0,-0.2571852698993596,7,8,0.3808133035713388,0.2876436517709682,0.6339626039495758,0.8125458079416401,0.41421094388772706,2.2615528941722696,1.8159013882360808,0.8199533391829539,1.0,0.43438720815381865,0.7529927546981474,0.0003674857006544892,0.6592504758331823
157,ATR Stop,CW,90,EA15,SA,3,C1,1143.4701806472017,1.4117126434951106,0.29118983949551874,2.805429089914974,0.620253164556962,0.11330710068739169,-0.04219833304777023,5.473605036411993,474,59.25,-0.15272740281421415,11,8,0.7308822360427474,0.6366713748733639,0.7878366668120105,1.2522426741118338,0.7044418106364476,2.5234635488033827,3.6823459747892304,2.338979330786426,1.0,0.5852308699500496,0.5197135406627261,0.003431494343669431,0.650765149771608
